segdesc   = BMDC2L_F
2023-12-01
DATE,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
12/2023,25.194,24.983,24.985,24.994,24.987,26.056,24.985,24.980,25.859,25.006,25.021,24.984,24.979,25.186,25.018,24.984,25.083,24.990,25.176,24.984,25.979,24.980,25.558,24.984,25.503,25.355,25.045,25.467,24.982,24.986
1/2024,23.056,22.851,22.865,22.876,22.917,23.606,22.867,22.865,24.608,25.878,22.945,22.860,22.903,23.080,24.271,22.865,23.143,22.903,23.055,22.845,24.061,23.394,23.309,22.860,23.474,23.243,23.509,24.180,22.865,22.867
2/2024,21.779,20.753,20.204,19.627,24.494,24.504,19.612,20.109,24.604,25.950,21.680,19.675,23.572,20.028,22.261,19.573,22.589,19.637,20.966,19.516,21.034,20.441,20.236,22.304,27.288,22.115,28.278,25.463,19.602,19.939
3/2024,26.834,29.702,33.432,33.173,43.486,32.207,37.131,34.648,33.206,29.854,30.974,22.959,32.430,45.509,25.988,27.024,40.828,19.513,37.356,22.196,31.793,35.599,27.453,27.287,41.839,35.625,60.469,26.517,23.855,29.469
4/2024,48.484,64.531,69.263,60.806,57.565,82.622,67.977,52.682,45.051,86.052,68.679,54.588,55.159,89.675,61.739,76.457,54.573,50.604,63.151,55.419,67.867,81.842,51.912,51.648,49.205,59.194,120.261,48.546,84.452,47.998
5/2024,106.974,168.522,263.814,170.981,202.075,303.721,245.121,132.964,165.558,254.156,249.972,93.521,155.463,206.186,233.862,193.233,164.944,228.500,304.500,119.363,142.563,134.745,157.945,169.019,114.613,152.142,273.842,165.618,198.867,194.636
6/2024,236.113,104.103,364.999,148.101,491.607,287.127,377.888,153.549,272.005,185.984,161.065,55.424,161.511,104.676,223.887,155.454,108.500,474.686,256.253,260.174,387.047,44.955,201.075,264.548,284.663,258.489,407.243,81.293,404.527,173.361
7/2024,98.980,45.367,151.803,48.411,345.020,102.362,118.350,66.928,168.204,56.168,52.297,24.263,46.391,43.638,84.578,61.155,45.909,209.257,127.871,69.515,191.361,24.996,70.015,80.167,95.602,79.985,131.017,32.218,224.595,54.189
8/2024,50.080,45.517,62.514,35.596,103.967,49.990,65.961,40.458,76.485,47.798,51.273,21.976,39.167,34.898,52.052,46.806,39.590,79.403,53.461,50.010,65.573,27.165,47.682,50.574,47.251,50.590,65.312,26.815,77.350,37.249
9/2024,29.402,32.381,42.191,27.458,53.752,33.471,44.433,25.032,40.019,32.369,28.284,20.057,49.961,29.398,33.043,32.848,33.629,41.886,33.320,26.882,35.831,20.957,57.644,45.247,32.254,31.163,37.456,20.115,39.494,32.957
10/2024,26.512,25.499,41.042,34.856,52.810,41.928,48.502,35.598,34.425,29.903,28.625,28.236,32.038,29.416,45.800,54.573,35.351,40.006,36.514,29.153,37.004,21.210,51.372,52.716,29.223,28.772,40.126,23.389,36.343,32.995
11/2024,25.185,21.135,33.119,27.062,40.256,35.757,36.895,29.667,27.546,26.050,27.932,18.750,24.025,26.679,35.474,38.875,29.202,34.042,32.238,29.155,30.505,17.606,33.628,33.465,26.321,24.758,34.019,21.604,31.414,35.160
12/2024,22.764,19.067,28.047,22.151,36.759,29.610,29.653,26.893,24.322,22.960,22.627,16.235,21.672,21.917,26.383,27.269,21.322,30.036,26.322,24.452,26.645,15.876,26.113,26.984,23.078,22.638,31.262,17.587,28.860,27.915
1/2025,20.561,17.900,25.536,20.128,31.359,25.356,26.459,23.437,24.276,21.244,19.835,15.658,19.624,20.999,22.932,23.306,17.885,27.393,23.470,22.383,25.172,14.714,22.957,23.795,21.360,20.817,27.241,16.145,26.335,22.485
