segdesc   = CLSC2L_F
2022-03-01
DATE,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
3/2022,30.617,35.422,34.065,36.309,46.191,28.121,38.079,33.923,37.472,27.667,32.204,26.517,34.385,50.281,27.724,27.617,46.696,22.844,35.289,25.372,32.355,39.343,29.468,26.925,44.208,32.436,46.410,29.954,31.797,33.564
4/2022,65.175,111.989,72.803,83.923,60.417,70.738,63.713,60.437,60.884,98.939,85.060,86.088,73.570,132.015,65.488,89.809,86.164,42.149,63.637,68.061,68.961,119.451,57.930,54.895,69.262,67.419,97.895,72.921,95.244,56.023
5/2022,183.454,314.919,231.439,251.793,238.560,262.520,225.429,198.182,248.144,314.251,343.778,164.452,225.167,268.888,242.604,239.777,270.388,138.273,315.791,156.010,169.259,204.445,218.094,189.709,158.822,192.547,201.906,262.987,254.333,240.260
6/2022,402.617,238.558,324.364,258.642,586.098,215.544,323.907,251.358,401.440,244.911,247.474,152.940,298.304,161.694,234.544,197.434,220.110,319.702,248.635,352.521,414.345,89.299,304.281,300.306,422.380,348.027,241.814,155.384,476.312,235.426
7/2022,185.637,98.946,131.029,73.628,440.736,82.552,101.083,124.724,256.355,69.665,77.416,48.293,78.447,61.790,88.640,75.154,78.007,135.880,118.826,91.360,195.249,38.082,104.136,86.961,159.597,109.310,74.176,51.750,272.111,70.449
8/2022,77.485,75.244,61.726,50.048,132.779,47.888,66.193,60.062,110.590,59.018,68.811,38.208,56.856,46.418,58.600,59.373,59.731,64.611,56.744,65.144,71.606,38.011,67.054,59.938,65.876,63.582,53.130,40.178,91.335,47.808
9/2022,40.725,46.982,41.824,36.106,61.541,31.915,46.307,33.055,52.248,37.753,35.576,29.126,68.780,38.600,34.421,38.086,48.151,34.210,34.109,32.399,37.914,25.934,71.488,50.343,40.686,37.811,29.824,26.461,43.722,38.414
10/2022,35.729,35.347,41.834,48.954,65.580,48.963,57.362,49.692,43.066,37.276,35.234,44.811,42.743,40.977,55.070,79.895,55.118,34.665,39.594,36.192,42.303,26.545,69.411,66.854,37.004,34.456,34.974,31.057,40.703,33.058
11/2022,35.109,31.125,34.680,38.135,48.367,39.751,42.113,42.140,35.134,33.780,34.649,29.303,32.063,37.351,43.260,53.088,44.146,31.466,36.981,37.453,35.525,23.018,45.049,39.783,34.448,30.066,31.008,30.119,36.600,30.915
12/2022,31.902,27.983,29.207,29.785,44.749,31.949,31.630,37.284,31.274,28.629,28.457,24.770,29.270,29.085,30.810,35.922,30.733,27.589,29.495,31.133,30.795,21.013,34.042,32.084,30.211,27.952,28.933,24.293,34.179,29.181
1/2023,28.470,26.114,26.696,26.869,37.666,27.173,28.201,31.824,31.227,26.247,25.017,23.111,26.178,28.121,26.429,30.100,25.435,24.876,26.009,28.314,29.496,19.402,29.555,27.856,27.515,26.247,25.266,22.239,31.098,27.583
2/2023,25.936,23.716,22.568,29.106,36.632,21.964,24.412,30.822,31.138,24.634,21.085,25.728,22.267,24.580,21.588,29.823,20.600,22.065,21.522,23.329,24.519,17.077,29.477,33.526,25.716,31.862,27.535,19.202,27.475,23.535
3/2023,44.651,40.148,43.769,59.598,49.221,48.686,43.519,47.945,38.395,36.501,27.303,41.145,59.076,31.730,32.517,77.557,22.727,44.353,26.114,40.085,45.923,24.872,41.425,59.068,46.258,73.510,30.164,28.879,42.663,29.576
4/2023,95.594,93.148,83.627,72.315,118.148,97.683,74.625,70.294,101.629,76.754,67.254,75.746,137.648,78.601,107.359,128.211,69.967,69.279,66.120,94.926,108.168,48.187,90.666,94.885,80.503,141.517,55.014,107.793,62.110,63.994
5/2023,257.488,319.358,238.974,296.061,413.687,374.965,226.473,272.846,292.071,310.615,109.159,197.066,278.355,301.358,275.576,294.367,312.082,331.938,145.013,207.088,174.383,121.204,297.317,193.507,199.756,294.013,178.868,265.380,208.301,147.443
6/2023,203.036,478.340,244.253,662.826,348.713,562.252,246.003,397.320,189.380,238.415,66.391,253.652,171.188,341.036,212.598,214.119,573.605,293.535,323.163,514.049,65.807,178.529,405.561,407.805,351.763,458.728,79.861,484.679,229.177,157.354
7/2023,74.512,212.710,68.185,500.161,122.459,196.328,114.261,258.653,55.562,65.831,27.342,62.940,59.982,131.499,75.512,72.467,248.724,151.187,78.618,262.651,30.303,60.113,116.098,132.470,108.360,146.746,31.833,311.298,65.717,62.146
8/2023,61.542,75.634,44.046,137.635,58.530,91.564,53.696,101.980,48.949,57.847,24.153,47.074,42.452,64.179,55.506,54.257,87.370,58.186,55.393,77.770,31.615,46.132,66.036,57.130,58.161,72.233,27.073,92.652,43.694,38.668
9/2023,45.261,55.246,36.828,69.247,43.331,64.007,34.329,54.469,37.120,35.087,23.438,66.935,41.030,39.517,40.741,49.799,49.780,38.134,31.623,44.894,25.433,59.304,60.093,40.927,39.563,43.103,21.916,48.291,39.970,29.200
10/2023,34.258,52.341,49.534,70.671,60.901,73.864,51.766,44.304,36.969,34.703,38.648,41.356,43.063,62.771,83.881,57.125,48.097,42.874,35.569,48.170,25.892,62.985,76.821,38.264,36.136,46.809,26.531,43.941,34.856,32.586
11/2023,30.136,43.566,38.646,51.797,49.493,54.459,43.766,36.078,33.723,34.439,25.073,31.160,39.130,48.725,55.649,45.318,42.638,40.148,36.848,40.041,22.476,40.235,46.488,35.789,31.501,40.513,25.806,39.163,32.576,33.731
12/2023,27.135,36.805,30.206,47.736,40.236,41.053,38.695,32.130,28.630,28.275,21.118,28.483,30.423,34.817,37.799,31.652,37.791,32.036,30.602,34.855,20.588,29.631,37.724,31.474,29.330,38.009,20.620,36.479,30.789,27.450
1/2024,25.365,33.488,27.247,40.192,34.417,36.172,33.042,32.015,26.282,24.795,19.896,25.458,29.353,29.783,31.631,26.167,34.039,28.136,27.829,33.207,19.053,25.548,32.756,28.633,27.507,33.021,18.941,33.143,29.056,23.111
2/2024,23.968,29.078,30.892,40.387,28.788,31.897,33.202,33.015,25.607,21.640,23.816,22.559,26.542,25.103,32.292,21.919,31.144,24.020,23.768,28.536,17.390,27.019,39.366,27.814,34.610,35.222,17.068,30.215,25.821,20.296
3/2024,41.647,50.790,60.657,52.129,59.047,52.144,50.509,39.806,37.367,27.120,38.892,60.300,33.220,35.496,81.692,24.173,55.174,27.820,40.352,52.064,25.351,38.198,68.290,48.232,78.333,37.003,26.821,45.410,31.074,35.881
4/2024,96.041,95.133,77.732,125.615,112.443,86.411,75.792,108.731,81.615,66.923,73.478,140.272,83.693,116.782,138.116,75.747,85.490,69.485,96.836,116.878,49.590,84.005,103.223,84.231,144.478,64.311,110.546,66.604,69.608,49.748
5/2024,332.037,257.998,307.467,430.991,413.174,251.789,285.639,298.386,316.426,109.080,200.924,280.232,318.576,287.295,299.265,329.501,373.878,151.728,216.842,181.201,124.696,281.107,212.182,207.500,305.077,195.928,252.355,222.633,152.610,191.632
