segdesc   = DRGC2L_F
2021-12-01
DATE,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
12/2021,9.974,9.953,9.953,9.964,10.167,9.951,10.191,11.041,9.963,9.965,9.952,9.990,10.061,9.960,10.108,12.580,9.958,17.732,9.987,9.953,10.286,10.217,9.957,10.199,10.120,10.335,10.150,9.970,10.010,10.034
1/2022,9.694,9.694,9.757,9.822,9.990,9.992,10.228,10.156,10.076,10.203,9.768,9.977,10.008,9.830,10.941,11.260,9.885,11.696,9.904,9.685,10.264,10.620,10.074,10.183,10.332,9.836,10.404,10.022,9.726,9.876
2/2022,6.806,6.667,6.673,6.500,7.656,8.436,6.709,6.705,7.203,7.377,6.575,6.712,7.157,6.709,7.626,7.052,7.283,6.908,7.134,6.348,6.948,6.676,7.240,7.361,9.453,7.726,8.841,7.759,6.510,6.687
3/2022,9.928,11.076,11.651,14.204,16.104,12.811,18.486,11.668,11.705,11.675,13.157,10.837,12.095,28.165,12.121,10.816,20.123,10.092,14.669,9.241,12.326,13.375,11.838,11.740,19.436,14.908,27.702,10.868,11.090,11.905
4/2022,16.520,40.503,28.071,39.484,16.365,27.813,30.984,19.314,19.043,41.336,42.108,33.239,27.766,68.157,27.929,36.709,36.101,20.641,27.698,23.370,26.232,52.697,23.032,24.065,29.196,26.291,62.917,28.179,40.266,21.518
5/2022,62.415,105.906,177.471,118.406,70.484,121.591,125.651,89.304,87.781,118.202,168.358,40.771,84.003,118.283,151.484,105.721,117.405,138.651,171.135,76.118,104.279,84.144,91.514,80.560,71.676,78.953,129.288,74.033,130.673,98.429
6/2022,125.105,64.214,188.655,102.395,180.592,90.888,157.036,96.136,142.512,82.087,80.979,21.470,58.001,67.447,139.825,72.646,86.532,184.532,105.878,130.923,187.099,34.732,64.332,97.605,159.133,127.006,147.268,31.108,244.002,72.341
7/2022,69.843,30.364,70.498,28.921,139.023,40.627,49.464,52.057,92.607,25.297,33.758,10.455,20.017,26.694,56.247,42.472,34.784,76.058,42.861,39.373,74.033,15.774,26.826,29.947,46.203,38.836,46.039,14.188,102.567,25.944
8/2022,27.201,22.998,32.926,13.059,47.753,16.832,47.718,22.166,66.962,14.740,26.635,7.721,13.885,13.044,29.806,29.510,31.253,28.446,17.759,30.778,24.615,10.639,25.384,21.215,20.962,25.833,26.558,8.017,30.408,13.441
9/2022,39.135,18.737,28.561,25.813,30.407,20.010,53.002,18.651,40.484,14.792,15.819,19.990,30.085,35.214,19.030,30.602,31.684,33.722,13.219,17.318,18.331,9.725,44.378,31.557,14.854,20.677,16.792,8.576,16.732,11.091
10/2022,17.528,12.297,20.218,24.388,24.088,36.612,46.280,19.386,18.763,17.297,13.033,22.888,15.977,39.817,36.629,78.014,31.053,20.956,15.392,20.136,27.452,8.631,32.109,39.706,17.852,15.226,15.928,11.319,12.055,9.735
11/2022,13.167,10.642,15.553,18.721,16.399,19.677,24.910,17.055,12.817,14.048,11.725,13.388,11.294,24.152,23.637,30.647,18.930,16.730,15.832,17.896,20.363,8.242,20.278,19.750,14.712,11.593,12.599,10.083,11.599,10.984
12/2022,11.577,9.966,13.712,13.409,13.933,14.733,16.081,14.149,11.480,11.674,10.612,10.671,10.776,15.844,15.752,17.910,14.616,14.212,12.260,13.399,14.544,8.890,14.840,14.814,12.140,11.048,11.964,8.763,12.121,10.966
1/2023,10.619,9.561,12.892,11.703,12.678,12.230,13.178,11.902,11.303,10.839,10.476,9.683,9.914,14.834,13.571,13.538,12.138,12.530,10.974,11.687,13.153,9.011,12.555,12.638,10.680,10.974,11.426,8.473,11.770,10.710
2/2023,9.583,8.625,11.001,12.123,13.653,10.228,10.858,11.047,10.680,9.339,9.251,8.920,8.809,12.863,11.007,12.641,9.737,11.432,9.251,9.904,10.341,8.902,12.223,14.434,11.417,12.479,11.073,7.504,10.510,9.599
3/2023,14.350,13.278,20.272,29.281,16.625,34.520,17.968,17.221,14.179,16.594,12.011,13.406,28.926,24.470,14.135,44.190,12.198,19.967,10.748,15.520,18.657,11.481,17.212,27.341,18.203,35.160,12.935,10.823,15.928,11.837
4/2023,55.947,37.739,55.460,34.502,36.415,63.494,38.127,37.903,44.004,53.028,36.092,33.094,81.990,71.457,47.962,67.087,30.579,38.376,27.273,35.665,73.661,17.019,46.974,41.837,36.539,74.939,28.878,41.774,25.232,33.138
5/2023,159.002,194.654,154.467,102.747,141.206,194.561,141.185,143.560,123.105,226.841,53.397,110.113,147.986,223.330,125.950,152.123,172.095,206.681,85.832,124.140,116.909,76.033,114.379,90.335,101.166,143.005,75.256,130.001,118.784,88.009
6/2023,116.219,233.171,152.348,262.069,100.945,261.021,131.053,218.939,79.574,135.477,31.171,93.696,100.510,220.701,86.099,124.487,218.270,120.500,148.258,224.935,53.262,65.319,156.354,186.865,172.027,172.392,31.391,262.407,95.826,98.557
7/2023,63.189,91.702,39.280,211.002,42.497,93.254,73.506,144.943,24.158,54.815,13.078,28.015,37.974,86.512,48.689,47.857,84.047,51.255,42.561,88.379,20.755,25.551,48.932,60.478,51.113,54.126,14.157,117.377,32.307,48.782
8/2023,36.601,36.383,18.985,69.909,18.474,72.325,28.796,86.975,15.174,35.421,9.076,18.949,18.843,40.022,32.983,38.775,31.886,21.114,33.890,28.475,13.823,26.153,29.971,24.642,32.456,31.398,8.779,34.102,17.197,25.304
9/2023,24.324,33.050,29.458,36.404,20.806,60.802,22.940,44.687,14.947,18.762,21.373,33.235,39.418,22.788,32.148,35.028,35.664,14.792,18.085,20.103,10.928,42.717,36.740,16.195,23.102,17.980,9.111,17.598,12.555,16.430
10/2023,15.571,21.863,27.305,27.998,38.064,52.116,23.402,21.191,17.904,14.913,24.521,17.600,43.070,40.807,81.209,33.491,22.386,16.839,21.011,29.163,9.883,32.385,43.690,19.245,16.747,17.261,12.085,12.410,11.054,32.160
