segdesc   = GBRW4R_F
2023-08-01
DATE,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
8/2023,69.319,64.096,78.037,66.373,66.256,64.361,93.266,68.007,64.655,65.488,64.281,64.592,64.140,74.112,69.589,64.652,71.195,64.238,64.838,67.147,64.913,63.323,63.769,70.020,64.591,65.092,65.087,64.219,65.338,63.203
9/2023,58.656,45.511,43.227,41.239,40.723,39.991,65.939,42.458,55.463,53.339,40.606,50.126,48.601,56.653,42.027,41.527,45.300,47.881,38.448,44.700,41.092,38.698,50.751,52.725,43.777,46.983,50.020,38.902,50.108,39.983
10/2023,42.649,39.508,43.020,48.516,43.690,41.718,63.542,46.693,41.666,47.320,38.702,47.996,39.322,52.959,43.887,57.560,60.324,43.216,45.068,39.630,44.932,37.772,51.285,103.169,51.055,78.603,60.281,40.702,48.037,38.729
11/2023,45.533,40.795,42.078,45.659,44.959,44.791,47.275,42.849,41.037,43.686,48.305,43.499,41.043,55.402,42.937,45.358,52.206,47.373,46.427,42.476,45.041,45.422,45.577,58.344,43.768,85.210,52.795,43.199,43.642,44.665
12/2023,36.576,33.005,33.453,34.571,41.117,38.385,35.383,35.291,33.215,33.790,35.396,34.035,32.959,37.776,34.870,36.566,36.586,35.315,34.838,33.580,34.086,35.508,34.720,41.426,33.903,44.992,43.718,33.319,34.163,35.130
1/2024,33.330,31.195,31.014,31.913,34.233,40.683,32.267,31.851,30.921,31.221,31.641,31.523,31.009,33.935,36.066,35.403,32.607,34.076,31.705,32.028,32.613,31.972,32.502,39.945,31.765,38.113,39.658,30.836,31.414,31.935
2/2024,28.824,27.914,26.527,38.730,37.956,33.072,27.423,29.140,30.699,27.152,27.080,35.500,27.868,29.758,30.324,32.329,27.458,31.840,26.885,29.433,30.242,27.803,35.027,42.364,36.298,48.709,35.458,29.708,27.767,31.559
3/2024,51.510,52.522,48.668,68.698,54.586,58.391,47.500,46.800,40.953,41.405,36.138,44.445,60.712,52.096,39.435,70.048,35.879,51.529,37.445,37.526,58.951,43.043,48.500,73.326,55.973,137.786,43.226,44.669,46.108,38.962
4/2024,66.962,71.470,83.037,67.103,108.074,88.969,76.015,63.318,74.461,52.451,66.409,68.673,114.422,76.621,98.857,71.439,39.462,82.549,51.113,61.333,113.902,49.309,79.760,78.693,84.532,254.551,75.538,97.175,63.196,60.957
5/2024,149.717,223.301,163.739,72.551,138.160,336.079,152.707,165.752,154.620,126.025,69.551,81.601,114.986,150.283,235.188,190.109,130.703,152.831,27.126,155.237,142.794,81.909,214.479,174.388,129.293,395.617,257.436,85.035,121.510,83.838
6/2024,58.965,370.961,136.414,457.541,546.990,706.393,296.808,510.058,206.181,131.468,217.786,228.255,258.434,372.684,269.352,72.667,304.374,461.872,192.554,405.921,189.287,107.021,468.756,293.192,283.392,733.528,434.158,268.368,338.294,335.301
7/2024,33.739,229.669,24.896,423.091,275.968,298.355,341.227,314.947,62.905,35.064,84.260,79.463,172.501,244.160,74.594,15.862,203.337,334.216,163.802,600.043,66.871,40.022,286.082,131.694,92.693,346.167,182.881,211.422,167.499,163.101
8/2024,21.598,170.843,24.190,144.660,86.894,143.845,109.200,108.525,35.658,23.657,37.505,36.841,67.844,80.761,44.076,29.532,64.493,102.330,55.896,173.089,33.810,25.663,97.385,50.644,44.209,111.302,65.507,77.102,58.607,70.788
9/2024,22.470,62.019,21.490,57.279,47.812,84.503,48.131,68.520,36.550,20.079,34.277,33.054,49.732,42.202,33.088,25.137,43.877,46.553,33.540,70.092,24.297,29.164,61.858,35.568,35.595,71.825,37.798,48.562,35.136,52.099
