segdesc   = GJNC2L_F
2023-03-01
DATE,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
3/2023,26.852,37.366,33.197,42.209,48.887,31.936,37.626,43.537,47.160,31.612,38.480,31.227,35.705,51.139,28.574,29.512,50.529,23.219,41.994,26.624,34.295,40.746,29.643,27.538,43.098,30.922,40.995,28.808,31.997,36.239
4/2023,49.725,162.216,75.857,106.321,62.753,68.090,65.423,65.863,95.200,105.571,106.531,121.098,86.838,157.869,78.911,139.157,132.409,27.174,77.299,78.529,95.970,145.029,61.022,51.238,101.395,80.097,101.988,93.162,123.889,71.267
5/2023,289.646,400.650,381.426,304.074,401.582,292.610,314.381,355.737,328.437,330.003,388.110,226.587,353.269,267.587,338.429,389.393,291.602,223.947,394.193,273.254,326.949,208.103,318.312,312.280,315.619,296.407,213.866,307.683,464.902,308.685
6/2023,307.543,178.201,244.746,183.289,559.524,148.410,243.332,261.043,317.302,145.193,171.140,132.314,230.004,96.768,208.564,164.162,126.221,272.182,186.236,280.806,374.527,65.221,211.436,270.200,297.562,246.042,156.347,122.580,390.316,157.082
7/2023,15.920,5.899,10.860,1.886,49.758,1.651,4.246,14.685,19.220,-0.404,1.471,-0.340,3.783,-0.280,4.666,2.133,1.308,9.700,8.094,5.796,19.458,0.091,5.334,8.329,11.995,7.714,0.995,0.482,21.490,0.865
8/2023,8.475,9.678,9.540,-0.948,47.368,-4.133,7.591,6.239,38.750,-2.513,2.767,0.504,-0.257,-0.589,3.566,8.164,0.723,13.229,5.694,22.447,10.336,-0.714,20.124,26.631,17.673,15.477,8.258,11.358,23.459,3.090
9/2023,6.232,7.624,8.683,6.037,11.302,6.822,10.751,6.088,10.009,6.764,6.718,5.752,10.388,10.309,7.171,10.388,12.879,8.460,7.874,7.472,8.833,5.684,12.922,13.412,8.845,8.584,7.348,7.966,8.034,7.784
10/2023,54.935,56.164,74.035,60.171,84.062,72.518,92.500,63.723,54.288,61.564,53.422,55.222,52.842,69.279,78.098,138.036,97.953,61.592,62.861,62.039,68.864,43.830,88.239,93.125,68.782,68.804,69.886,64.395,75.504,49.967
11/2023,59.109,64.713,60.745,58.181,67.401,69.149,67.448,58.807,53.724,52.710,51.651,54.471,51.480,66.026,63.971,81.815,68.192,51.144,53.648,59.366,58.400,45.344,64.564,58.333,55.872,51.495,49.364,52.729,55.378,54.724
12/2023,49.798,48.095,45.398,46.663,54.456,55.119,49.764,52.464,44.199,42.896,43.787,43.404,46.759,48.942,48.018,56.051,57.029,43.322,43.450,65.679,47.162,40.489,48.384,47.728,46.795,49.310,40.417,41.025,49.254,45.748
