segdesc   = GLDA3L_F
2021-12-01
DATE,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
12/2021,235.426,239.300,239.539,230.694,248.941,233.373,244.675,235.273,232.292,235.037,230.888,251.537,230.708,240.461,232.647,290.418,234.139,312.487,241.428,249.357,266.409,245.615,244.118,259.155,246.313,237.099,248.988,233.403,236.531,245.264
1/2022,221.876,232.447,345.012,218.887,260.168,229.341,277.808,230.616,225.934,240.062,232.693,234.784,223.163,231.246,390.107,268.801,228.969,275.290,270.371,241.292,275.395,239.938,245.679,230.438,245.535,242.772,318.578,235.275,244.932,237.952
2/2022,216.258,253.063,436.757,208.015,278.160,261.123,269.738,248.957,233.807,287.086,226.651,194.336,245.968,216.258,390.287,224.788,235.219,264.063,272.776,293.318,245.259,223.668,251.043,223.593,335.225,273.649,427.842,246.595,255.303,217.452
3/2022,289.014,321.331,386.930,326.864,607.560,372.515,379.815,264.612,269.869,340.542,339.458,187.649,348.204,441.978,400.502,276.247,398.004,284.356,438.233,372.051,328.582,284.311,294.242,311.213,464.437,397.967,920.198,265.261,421.338,298.120
4/2022,299.902,515.535,839.089,502.381,520.074,596.416,640.279,480.536,315.278,673.287,512.403,377.776,452.954,1121.403,625.242,719.085,520.267,367.667,571.222,529.026,662.932,650.668,321.786,299.794,407.414,519.925,1632.699,318.804,879.580,310.194
5/2022,659.062,936.618,2512.576,1236.755,1586.901,1946.818,2272.699,1180.952,1243.246,1940.165,1743.853,222.473,1083.207,1202.824,1725.392,1597.856,1118.672,1468.970,2334.182,762.778,1457.503,697.852,1002.660,902.201,741.024,1606.679,2162.695,1028.062,2089.501,1174.079
6/2022,2043.001,429.524,3544.613,902.052,3855.496,2109.241,3218.699,1540.858,2386.569,1479.059,1023.064,253.566,1596.269,526.511,2207.944,1310.642,566.391,3171.722,2251.807,2316.548,4286.950,66.314,1386.005,2149.959,1544.967,2003.731,2913.255,705.218,3133.978,1260.884
7/2022,678.924,46.685,1256.347,93.621,2521.301,745.769,937.716,841.838,1161.207,249.263,156.558,-8.278,283.451,184.522,742.477,227.266,63.777,1527.550,1156.388,654.530,2348.593,-24.725,281.619,629.037,453.493,490.962,864.454,114.877,1536.400,254.902
8/2022,262.011,91.557,493.761,65.377,725.349,217.237,520.721,335.561,519.084,123.538,155.615,28.964,135.449,112.201,290.996,163.924,136.872,462.480,343.014,301.766,600.862,48.036,191.706,269.848,162.143,222.763,366.589,72.530,419.378,116.669
9/2022,261.882,141.131,404.628,134.357,344.247,200.687,445.445,206.309,323.092,152.381,118.866,124.571,261.682,179.888,199.313,180.773,163.473,288.311,182.562,176.967,316.233,61.697,338.880,251.639,128.041,213.826,216.749,71.860,231.049,111.657
10/2022,234.918,146.603,446.077,305.126,482.094,412.310,740.031,342.888,286.557,333.172,171.078,249.255,242.677,397.747,458.052,939.015,374.997,334.826,289.125,354.632,467.835,123.108,528.676,531.638,266.134,360.684,433.785,252.652,304.803,187.799
