segdesc   = GRNU1L_F
2022-03-01
DATE,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
3/2022,63.409,80.541,74.851,80.361,83.954,71.793,85.283,75.149,74.790,63.258,70.312,62.254,75.881,86.822,67.808,59.983,100.990,60.810,76.571,67.300,66.360,87.549,75.601,78.890,93.749,77.868,101.538,68.041,61.500,69.644
4/2022,79.155,92.330,80.755,105.036,71.734,93.307,67.106,92.675,69.422,85.510,73.111,84.490,93.511,95.646,68.405,95.232,91.345,41.103,106.335,87.979,68.594,115.051,70.405,70.135,83.320,114.042,142.233,78.302,108.570,63.221
5/2022,128.224,145.651,198.159,155.953,116.902,80.925,127.004,131.218,189.299,122.276,152.913,68.633,82.428,95.566,128.837,128.266,177.807,83.875,136.447,72.753,116.931,115.364,122.996,89.958,120.022,339.422,137.383,172.677,100.609,96.077
6/2022,435.030,57.337,347.086,107.605,491.706,279.127,234.376,292.265,372.775,134.608,123.972,201.825,241.148,152.933,268.659,100.633,57.438,195.423,394.277,310.691,357.495,86.092,131.342,191.251,215.624,373.388,209.751,258.638,274.527,215.530
7/2022,190.967,30.838,178.971,14.125,446.423,121.035,87.070,305.334,179.442,32.061,28.295,77.270,86.971,109.165,181.900,13.516,8.474,145.347,274.980,243.483,463.274,19.570,43.413,100.835,100.002,112.944,85.796,96.196,150.595,113.731
8/2022,92.248,18.705,167.919,18.988,157.991,53.016,75.453,114.826,77.252,21.664,23.024,37.571,40.309,47.991,71.742,20.054,24.624,55.092,93.171,85.893,139.074,16.812,29.188,51.631,44.823,60.027,48.369,47.225,61.389,44.017
9/2022,69.095,19.834,60.277,17.922,64.764,31.986,57.606,49.341,62.900,30.288,19.126,33.630,34.674,43.671,39.210,19.028,22.920,44.217,43.124,47.799,60.660,14.737,30.719,40.790,28.767,55.482,40.932,29.499,46.416,28.116
10/2022,48.682,22.201,55.480,48.646,62.097,38.630,63.476,56.068,47.547,36.174,24.321,41.118,31.872,48.231,42.481,42.508,51.070,40.724,52.337,41.258,63.805,21.341,53.115,99.973,42.492,100.773,64.207,39.982,50.513,31.825
11/2022,58.527,29.012,52.048,42.092,60.592,46.888,44.700,51.890,48.003,36.623,37.169,37.981,37.331,72.576,44.735,37.190,43.364,46.681,56.102,47.413,60.385,34.006,40.877,55.481,38.590,99.355,55.245,43.756,45.752,38.105
12/2022,49.513,24.890,43.772,31.714,60.059,46.427,35.118,45.420,43.199,29.138,29.622,31.484,32.388,41.683,40.094,30.775,30.880,37.414,45.670,41.331,49.376,28.423,31.771,40.251,32.453,61.700,50.813,34.770,39.253,35.750
1/2023,41.872,22.678,39.637,29.566,49.589,61.362,30.510,37.527,39.340,25.764,25.029,28.264,29.457,36.319,41.060,28.993,25.774,32.385,40.125,37.949,46.291,23.894,28.680,38.904,29.269,51.275,43.602,30.626,35.153,42.574
2/2023,42.246,25.300,37.621,47.237,61.159,46.573,31.073,38.185,45.032,27.013,26.116,40.463,31.377,36.814,36.697,34.357,26.022,35.357,38.359,38.573,47.135,25.981,38.783,51.459,44.451,89.584,44.686,33.323,34.205,39.288
3/2023,119.096,81.804,97.342,108.177,94.343,100.692,76.256,78.262,66.872,61.209,50.551,66.340,95.778,81.576,62.797,89.771,47.789,76.270,60.200,66.263,99.058,57.593,70.883,93.786,88.729,325.183,67.674,67.584,89.665,72.122
4/2023,119.204,158.185,123.567,92.428,151.646,126.063,141.509,98.719,103.106,95.032,81.556,93.445,154.184,120.052,127.710,91.702,52.022,112.940,83.114,200.280,173.629,61.040,93.711,96.056,135.856,542.644,94.040,259.844,116.973,77.323
5/2023,200.962,295.718,214.555,148.875,231.745,413.601,214.409,319.273,164.380,155.556,59.837,79.740,128.889,242.196,259.772,190.653,123.096,168.812,63.354,338.176,217.070,81.150,201.697,195.243,379.200,560.811,251.839,174.067,154.209,118.212
6/2023,86.847,491.092,196.422,576.093,686.201,830.821,416.022,742.297,243.128,159.071,200.256,270.816,254.250,448.064,331.267,75.289,318.765,530.421,273.677,678.190,215.551,99.623,526.830,340.893,432.219,876.443,465.351,347.163,382.103,195.529
7/2023,44.332,278.509,36.227,599.019,333.692,362.325,438.351,414.271,74.284,41.743,90.598,111.493,194.273,331.497,85.491,8.736,253.905,414.109,222.599,846.933,84.366,38.587,311.095,157.509,136.044,439.116,209.177,254.707,191.692,82.879
8/2023,28.173,211.005,32.434,189.521,104.173,174.257,143.779,137.943,39.884,24.092,37.386,43.124,75.021,100.380,48.180,26.521,73.282,131.027,69.729,226.219,39.650,22.036,111.142,57.702,64.400,154.458,74.124,98.055,67.798,34.684
9/2023,27.848,82.122,25.791,76.789,62.279,107.233,63.435,95.214,48.035,20.722,34.923,39.734,60.080,54.960,38.762,24.308,56.094,57.451,44.325,96.129,27.975,26.563,77.887,39.221,61.626,100.498,43.734,67.355,45.777,23.707
10/2023,27.575,67.622,54.938,67.421,60.602,100.733,64.841,64.497,46.327,25.029,39.634,32.314,59.005,53.578,61.095,54.558,47.702,58.945,37.812,86.731,32.970,50.877,130.035,50.551,104.283,115.161,52.017,63.633,44.695,38.330
11/2023,34.252,61.460,46.726,64.265,66.225,73.444,58.508,60.945,43.354,38.225,36.349,37.494,80.963,53.591,51.613,44.587,52.401,61.547,44.670,77.168,45.827,38.568,73.654,46.554,101.854,93.118,54.768,55.972,50.186,48.040
12/2023,29.855,51.788,35.849,63.904,64.126,60.666,52.250,54.761,34.831,30.766,29.970,32.494,48.303,48.027,43.833,31.396,43.429,50.021,39.003,66.083,38.439,28.886,57.344,39.445,63.539,85.459,44.133,48.500,47.199,41.167
1/2024,27.258,46.814,33.324,53.902,77.656,53.427,46.083,49.595,30.838,25.934,26.888,29.521,42.200,49.098,40.967,26.210,39.988,43.776,35.937,61.277,32.605,25.985,53.364,33.090,53.002,73.988,36.898,43.407,52.803,37.340
2/2024,30.400,46.253,53.851,67.852,62.180,51.709,47.055,56.217,32.604,28.114,40.764,32.806,43.256,47.418,46.149,27.568,41.500,42.932,37.866,60.477,34.511,37.932,65.324,49.958,96.144,74.419,40.149,44.020,48.151,42.387
3/2024,92.642,108.046,111.455,100.902,115.836,97.384,85.637,79.560,66.998,51.586,65.768,98.911,89.041,72.936,102.286,48.780,80.424,66.536,64.975,116.387,65.957,67.891,108.899,91.714,341.823,95.868,75.948,100.379,78.899,81.143
4/2024,161.547,137.228,96.492,157.340,140.137,162.894,115.877,116.417,101.749,83.123,92.497,153.252,127.645,135.835,101.259,52.909,121.709,85.140,201.032,197.196,69.927,89.460,110.953,143.802,544.336,120.777,273.210,128.458,87.244,93.790
5/2024,321.275,240.114,163.550,248.969,480.214,258.963,356.514,206.888,173.124,60.089,88.875,133.658,272.504,295.181,219.343,135.785,198.513,65.070,351.782,240.145,97.362,196.837,247.077,398.012,577.993,329.183,184.923,175.866,133.180,290.422
6/2024,499.624,211.278,615.646,708.075,878.445,483.837,769.115,257.956,165.862,203.866,269.057,266.106,479.849,349.684,84.734,341.294,556.268,291.340,695.492,230.792,113.719,511.189,370.229,439.580,885.350,520.893,370.771,412.366,210.868,567.843
7/2024,280.030,43.784,591.805,326.320,359.756,461.817,404.952,78.082,44.464,93.290,105.842,191.418,322.769,91.973,14.263,243.752,410.670,230.735,823.428,87.504,44.060,312.089,161.439,134.304,428.567,227.680,260.069,193.909,85.332,558.792
8/2024,209.131,36.504,185.219,103.570,175.208,151.971,136.830,43.755,26.838,37.821,42.703,74.984,100.811,51.751,31.636,72.115,127.693,72.248,217.584,45.161,26.339,110.817,60.658,65.406,151.509,85.557,98.626,70.849,38.701,240.726
9/2024,81.711,29.737,76.019,63.119,109.904,68.724,97.023,52.022,22.675,35.387,39.575,59.103,56.159,41.478,28.814,56.489,57.834,45.712,94.183,34.234,30.439,77.137,42.664,64.080,102.116,52.669,69.730,49.118,26.123,120.668
10/2024,68.795,58.425,68.075,61.498,100.933,69.792,65.409,51.929,27.113,40.179,32.165,60.254,55.213,64.290,58.174,47.587,60.475,39.203,87.012,38.901,53.443,129.448,53.284,105.073,114.571,60.793,65.048,47.845,41.655,173.956
11/2024,62.183,49.484,65.226,67.583,74.591,62.625,62.356,46.260,40.281,36.759,37.339,79.399,54.894,54.075,46.473,52.454,62.076,45.806,76.507,52.493,40.707,73.255,48.854,101.605,93.414,62.208,57.160,52.941,50.036,87.928
12/2024,52.719,38.194,64.228,63.762,61.839,55.944,55.981,37.309,32.172,30.251,32.240,47.441,49.225,45.899,33.347,43.236,50.553,39.852,65.807,42.773,31.009,56.839,42.113,63.538,85.110,51.599,49.669,50.077,43.269,69.777
1/2025,47.750,35.501,54.235,77.963,54.606,49.788,50.766,33.151,27.326,27.187,29.351,41.910,49.947,42.861,28.103,40.068,44.388,36.716,61.198,35.689,27.990,52.930,36.009,53.337,74.127,44.645,44.517,54.734,38.827,63.683
