segdesc   = MPSC2L_F
2021-12-01
DATE,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
12/2021,19.987,19.926,19.896,19.970,19.922,20.155,19.974,20.088,20.270,20.305,19.884,21.092,19.950,19.999,20.001,22.206,19.951,21.086,20.078,19.883,20.344,19.918,20.010,20.809,20.194,20.236,19.969,20.038,19.987,19.970
1/2022,18.836,18.773,18.737,18.796,18.769,18.990,18.962,19.228,19.763,21.997,18.726,19.647,18.848,18.814,20.232,20.707,18.783,19.863,19.010,18.691,19.562,19.139,18.861,19.438,19.034,19.064,19.284,19.091,18.920,18.889
2/2022,18.322,17.579,16.942,16.595,20.885,20.848,16.903,17.844,21.483,23.483,18.228,17.250,20.347,16.692,19.524,18.024,19.552,17.545,17.976,16.489,17.723,17.359,17.052,20.107,23.988,19.050,26.058,22.247,17.002,17.009
3/2022,24.742,26.687,30.252,30.863,42.048,30.213,35.070,31.788,30.574,27.519,28.633,20.639,30.278,42.979,24.204,26.484,38.493,17.960,36.006,19.483,29.787,32.711,24.551,26.756,38.532,34.070,58.301,24.693,22.637,27.844
4/2022,45.803,60.287,67.984,60.397,52.304,79.459,66.937,50.604,44.482,82.592,66.058,52.425,53.036,96.534,58.388,76.591,54.224,50.456,60.002,54.710,65.512,85.433,49.534,49.210,50.524,57.612,127.384,46.432,81.873,45.527
5/2022,105.028,159.540,246.773,167.090,196.459,294.952,238.539,129.324,169.138,252.576,251.543,90.152,143.815,201.317,223.119,191.265,173.609,214.532,297.961,119.491,544.263,129.177,153.154,162.813,114.792,152.009,267.203,160.880,215.414,186.391
6/2022,219.414,99.058,363.471,136.111,458.249,264.845,354.329,147.917,264.225,177.351,150.980,48.290,154.585,98.122,210.586,141.988,107.464,448.456,243.714,252.896,472.813,40.768,184.886,252.703,269.260,245.920,386.867,74.788,384.181,160.167
7/2022,94.229,43.197,148.515,45.958,340.379,100.522,115.630,63.214,164.782,54.510,50.117,22.461,44.551,41.602,81.970,56.967,44.410,207.942,123.835,68.549,190.714,23.459,65.585,75.451,92.337,78.286,128.969,30.539,225.749,52.202
8/2022,47.552,43.105,60.314,33.632,101.725,48.814,64.431,39.077,76.296,46.200,49.128,19.885,37.337,33.613,50.053,45.367,39.057,77.825,51.893,48.725,64.249,25.705,46.099,48.989,45.288,48.448,64.473,25.650,76.152,35.794
9/2022,28.860,33.079,42.951,27.684,52.992,33.714,45.371,24.808,41.211,32.921,28.382,18.780,50.921,29.538,32.185,32.346,34.120,42.465,33.236,27.099,36.357,20.119,56.255,43.858,31.892,31.796,37.800,19.695,40.244,32.267
10/2022,25.924,25.006,40.980,35.316,55.394,44.095,51.384,36.011,34.710,30.358,28.206,28.916,32.468,30.544,47.452,58.956,37.395,40.356,36.713,29.300,37.792,20.611,53.573,55.385,28.841,28.840,40.625,22.827,36.664,27.635
11/2022,24.971,20.591,33.520,27.994,41.003,37.360,38.982,31.196,27.792,27.082,27.982,18.652,23.875,28.388,36.626,41.926,31.350,34.779,33.098,29.758,31.352,17.061,35.140,34.168,26.454,24.738,34.491,21.593,31.986,25.134
