segdesc   = NVRN5L_F
2021-11-01
DATE,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
11/2021,25.447,20.088,17.213,19.833,28.746,20.139,23.280,18.395,25.495,22.702,17.319,20.223,22.549,27.924,21.438,20.135,19.577,22.314,21.762,20.605,19.360,20.113,21.105,20.336,21.293,21.479,25.409,22.677,16.173,20.895
12/2021,17.936,16.680,14.076,15.524,19.843,16.834,21.758,16.760,23.679,16.344,15.318,15.635,17.061,22.039,18.765,15.699,15.794,36.908,17.648,14.823,18.758,15.534,16.377,17.693,17.496,16.939,24.122,18.836,14.314,18.880
1/2022,14.576,15.127,17.723,16.042,17.942,15.316,19.175,17.685,18.669,16.988,16.253,14.400,18.135,18.443,28.182,15.201,15.643,21.546,17.012,13.897,16.754,18.624,18.114,16.799,19.126,14.791,27.018,15.752,14.094,17.151
2/2022,22.107,20.966,19.029,17.034,31.155,25.188,19.959,17.292,19.602,19.866,20.041,14.454,23.639,20.190,37.900,13.894,24.877,18.090,24.707,15.071,19.552,19.675,21.322,21.187,31.406,28.973,64.580,16.855,17.631,18.748
3/2022,34.954,42.428,70.912,49.331,110.700,33.892,81.631,38.137,30.733,37.128,51.417,24.568,44.187,94.045,60.472,30.496,69.614,67.489,56.672,42.421,46.876,41.916,43.394,38.527,60.048,45.813,173.510,28.196,90.477,41.040
4/2022,62.878,148.060,175.306,114.705,148.175,67.180,153.561,62.749,63.024,96.634,138.850,66.297,57.644,184.534,192.520,94.922,89.275,224.568,95.078,128.968,86.276,109.503,61.314,55.660,60.133,74.150,192.747,57.644,170.079,61.264
5/2022,192.416,270.321,404.248,256.928,289.993,196.661,332.937,190.849,220.420,183.282,370.798,73.702,167.698,298.152,463.505,208.873,244.908,346.626,365.611,201.127,172.696,173.982,170.722,166.011,168.385,180.448,243.982,132.748,339.621,193.977
6/2022,265.478,122.109,335.079,193.603,390.859,74.181,298.909,155.978,223.246,56.143,146.025,28.966,88.319,147.415,310.649,71.550,133.679,349.711,163.031,211.694,246.078,39.019,97.818,156.969,243.674,219.951,239.087,30.874,361.667,76.070
7/2022,100.359,33.988,91.470,13.958,241.787,11.716,66.947,66.287,122.617,0.000,15.989,17.853,0.000,31.068,78.499,20.831,13.133,94.368,31.660,28.932,53.989,7.684,16.721,8.805,37.404,23.054,36.151,18.245,127.611,0.000
8/2022,36.421,49.113,80.204,1.688,68.539,14.725,59.273,23.441,102.954,16.410,30.417,16.879,20.988,0.000,26.992,52.669,33.554,37.197,0.000,35.990,6.794,17.678,40.863,6.962,3.002,22.559,21.291,15.395,33.662,6.454
9/2022,56.326,34.949,72.101,47.608,31.663,25.975,70.790,22.357,63.696,16.792,3.802,23.457,44.266,44.631,15.863,40.608,25.425,32.129,6.552,39.396,8.903,16.481,86.970,24.575,5.332,21.523,12.984,12.570,6.694,17.504
10/2022,22.067,23.160,34.556,44.515,35.248,31.800,98.136,42.492,24.551,31.952,18.001,28.669,22.089,68.755,77.622,120.336,47.602,30.293,23.000,33.573,60.431,14.091,54.844,51.836,23.786,19.954,46.756,21.183,14.610,17.604
11/2022,27.589,23.221,31.411,40.751,30.255,34.919,44.873,58.417,20.260,26.165,18.657,27.386,24.753,48.106,43.911,47.969,23.952,37.977,26.165,29.602,34.707,14.392,32.690,29.141,29.798,22.079,30.105,16.728,22.889,20.202
12/2022,24.041,19.789,27.000,26.581,26.061,27.665,31.271,34.501,17.438,19.324,17.928,17.110,23.018,31.065,28.538,26.965,40.623,29.370,18.687,25.760,23.870,13.947,24.953,21.423,22.093,24.820,26.899,12.924,25.402,20.253
1/2023,19.360,22.685,26.196,22.414,23.266,21.682,28.408,25.378,19.746,18.520,17.103,17.195,18.978,41.991,24.828,22.591,23.879,26.218,16.389,21.578,25.209,16.253,21.973,21.552,17.429,28.662,22.974,12.180,23.960,18.787
2/2023,24.465,22.972,24.872,41.646,33.651,22.421,25.881,26.830,22.337,19.429,16.440,22.294,20.273,49.946,21.523,33.842,19.392,33.189,16.722,23.207,23.467,19.848,27.486,33.212,33.201,67.481,22.801,15.804,24.452,15.598
3/2023,54.854,89.669,72.380,170.327,42.896,125.686,69.322,49.527,41.254,63.859,25.852,45.041,92.263,109.196,42.210,121.218,71.227,73.671,44.156,54.499,59.756,37.112,54.423,65.686,54.518,168.021,34.995,87.998,48.197,29.635
4/2023,213.796,245.956,166.952,196.989,83.446,213.552,139.302,104.561,108.993,185.708,57.634,64.417,195.533,301.792,135.287,140.478,252.433,118.681,148.046,108.393,154.823,48.419,93.559,63.962,92.830,193.414,65.693,180.151,64.528,66.987
5/2023,319.018,436.331,298.396,335.223,207.065,381.888,256.629,286.162,185.669,430.940,61.565,183.185,292.587,523.909,231.595,282.096,360.114,379.572,213.503,188.389,208.860,133.397,194.063,171.388,192.769,231.569,135.347,330.254,176.870,148.918
6/2023,151.222,357.654,216.433,431.155,68.432,374.068,172.859,305.822,53.891,206.042,23.528,113.424,134.658,373.003,77.592,165.041,343.718,164.882,221.835,245.500,67.967,83.620,176.434,227.925,225.930,226.037,27.946,371.226,70.858,117.579
7/2023,51.780,102.752,21.685,260.705,12.981,90.527,73.152,176.108,0.000,31.013,17.465,0.000,27.266,107.751,25.992,23.330,90.578,37.324,31.271,55.643,6.757,23.595,14.634,33.209,25.000,34.615,20.438,136.930,1.444,38.259
8/2023,58.975,72.406,8.924,76.159,0.000,75.363,23.668,122.614,0.000,39.779,17.099,10.478,0.000,35.761,35.803,41.471,37.790,0.000,30.793,10.788,0.000,38.357,9.227,4.150,26.611,24.205,17.980,35.598,6.318,23.039
9/2023,40.375,94.853,52.770,38.587,21.065,82.288,12.769,77.535,16.276,8.478,26.507,49.917,51.203,19.383,41.418,31.512,36.433,10.025,44.163,14.274,19.325,94.676,15.791,7.505,11.137,12.824,16.947,8.092,21.323,27.343
10/2023,20.352,36.892,49.209,37.099,35.095,104.311,47.198,27.498,33.195,13.437,29.315,22.417,69.736,82.574,129.537,50.914,30.771,25.679,34.636,64.207,15.617,56.058,55.410,24.338,20.583,49.201,24.532,14.891,19.802,81.388
11/2023,25.879,33.314,45.382,31.660,39.230,48.000,67.529,22.652,27.665,20.731,28.470,25.187,48.763,46.861,51.449,26.157,38.398,29.119,30.575,36.413,16.325,32.538,30.956,30.087,23.142,30.493,19.806,23.102,22.529,41.722
12/2023,22.212,28.663,30.665,27.482,31.571,33.884,39.570,19.886,20.433,19.873,18.061,23.343,31.730,30.494,30.114,43.772,29.807,22.211,26.778,25.417,15.984,24.783,23.218,22.426,26.070,27.697,15.894,25.642,22.740,21.848
1/2024,24.920,27.636,26.027,24.626,24.673,30.541,29.241,22.196,19.567,19.075,18.163,19.284,43.105,26.526,25.637,26.220,26.662,19.356,22.495,26.824,18.192,21.570,23.305,17.731,30.054,23.380,14.997,24.154,21.086,17.228
2/2024,25.854,27.138,50.823,36.614,26.156,28.661,32.207,25.544,22.833,18.687,24.160,22.985,52.900,23.688,38.805,22.481,35.606,20.050,25.057,26.089,22.231,27.837,36.218,35.629,72.295,23.856,19.327,25.566,18.541,17.605
3/2024,100.873,75.740,185.001,44.978,140.693,73.781,54.618,46.588,68.151,27.802,47.197,95.860,114.134,44.625,131.171,82.439,74.330,50.591,57.046,65.287,41.246,54.492,71.349,55.368,176.353,35.368,101.761,48.782,32.301,55.176
4/2024,265.339,171.231,213.594,87.708,223.614,144.380,115.378,119.312,197.970,59.836,67.671,201.512,311.685,138.670,150.345,268.723,122.771,159.981,111.495,158.559,51.859,92.605,64.760,95.189,194.715,65.879,200.862,67.836,72.332,100.407
