segdesc   = TPIC2L_F
2023-01-01
DATE,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1/2023,3.600,3.600,3.600,3.600,3.600,3.600,3.600,3.600,3.600,3.648,3.600,3.600,3.600,3.600,3.600,3.600,3.600,3.600,3.600,3.600,3.600,3.600,3.600,3.600,3.602,3.600,3.600,3.601,3.600,3.600
2/2023,3.216,3.238,3.200,3.200,3.282,3.201,3.200,3.200,3.202,3.250,3.200,3.200,3.262,3.200,3.200,3.200,3.201,3.200,3.210,3.200,3.200,3.200,3.200,3.200,3.701,3.365,3.275,3.226,3.200,3.200
3/2023,3.201,3.694,3.499,3.749,4.438,3.197,4.104,3.560,4.079,3.375,3.501,3.172,3.828,5.005,3.156,3.240,4.926,3.029,3.965,3.055,3.353,3.986,3.167,3.031,4.725,4.021,5.154,3.334,3.052,3.365
4/2023,6.293,9.362,6.747,7.464,5.850,7.166,6.233,5.429,6.277,8.833,8.031,8.466,7.175,11.388,6.898,8.380,7.964,3.729,5.842,6.480,6.366,12.291,5.552,5.346,7.168,7.102,11.135,6.265,7.385,6.056
5/2023,21.049,29.548,35.132,29.261,28.661,47.332,28.227,20.269,25.491,38.406,33.468,19.980,26.056,30.576,29.688,26.182,24.832,23.627,35.783,17.115,17.763,27.773,25.045,23.639,15.513,20.988,35.014,32.791,28.636,28.629
6/2023,49.299,27.626,71.947,42.070,87.103,63.348,55.419,34.322,57.582,42.073,34.686,22.153,42.361,25.838,43.450,31.608,27.913,74.086,38.958,47.259,55.031,17.645,46.550,52.507,48.538,46.729,55.704,27.877,65.315,37.971
7/2023,21.113,12.389,32.356,14.374,71.671,23.515,18.999,18.719,35.847,14.166,11.816,7.896,13.253,9.606,16.959,10.631,11.137,37.070,19.182,15.333,32.128,7.716,17.041,18.612,17.165,16.303,19.763,9.487,41.641,11.928
8/2023,9.089,8.077,12.161,7.221,23.106,10.180,10.165,8.387,14.091,8.114,7.649,5.032,7.191,6.110,9.468,6.876,6.841,12.992,8.571,9.132,12.179,5.276,9.270,9.426,7.820,8.429,11.552,5.824,14.522,7.004
9/2023,6.443,6.571,8.957,5.965,13.586,7.691,7.453,5.723,8.481,6.286,5.890,4.301,7.862,5.129,6.557,6.005,6.080,8.391,6.300,6.191,7.462,4.728,7.895,8.903,6.091,6.367,7.494,4.910,8.594,7.063
10/2023,6.058,5.285,8.916,7.355,11.603,8.028,7.526,6.753,7.633,6.131,5.513,5.520,6.485,5.647,7.684,8.374,6.375,8.458,7.288,6.063,7.443,4.586,8.718,11.506,5.574,5.945,8.290,5.179,7.710,6.775
