segdesc   = VCRC2L_F
2021-12-01
DATE,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
12/2021,3.999,3.999,4.002,3.999,4.072,4.001,4.010,4.603,4.037,3.999,3.999,3.999,4.004,3.999,4.052,4.428,3.999,8.813,3.999,3.999,3.999,4.302,3.999,4.018,3.999,4.023,3.999,4.038,4.001,3.999
1/2022,3.918,3.918,3.902,3.943,4.017,4.014,4.041,4.259,4.087,4.073,3.974,4.002,4.101,3.902,4.313,4.365,3.929,5.330,3.909,3.895,3.916,4.442,3.950,4.043,4.072,3.998,3.962,4.078,3.950,3.920
2/2022,3.568,3.476,3.152,3.253,4.158,4.351,3.311,3.387,3.524,3.664,3.277,3.322,3.752,3.246,3.678,3.541,3.675,3.758,3.429,3.136,3.228,3.380,3.347,3.658,4.831,4.083,3.895,3.782,3.216,3.292
3/2022,4.034,4.780,4.902,6.059,7.519,5.379,8.627,4.984,4.938,4.579,5.590,4.349,5.206,10.641,5.050,4.643,8.077,4.612,6.252,3.656,4.907,5.628,4.961,5.009,7.975,6.384,10.066,4.628,4.010,4.991
4/2022,6.813,20.766,12.411,19.029,9.718,13.394,15.516,8.462,8.086,21.399,22.521,15.343,13.187,30.807,16.479,17.955,15.466,11.419,12.813,11.921,10.719,23.756,9.823,11.159,12.098,11.858,23.079,12.690,18.646,10.961
5/2022,43.099,52.912,77.905,57.055,42.024,59.142,64.249,45.205,44.489,61.860,86.344,21.714,46.354,67.159,77.693,55.128,61.243,66.045,84.044,44.943,44.837,43.344,46.679,46.219,41.392,41.838,56.443,34.742,62.063,51.088
6/2022,59.786,25.205,86.192,36.794,85.471,30.106,65.295,38.352,66.293,32.114,34.927,8.665,24.739,25.704,70.521,26.450,32.029,87.708,43.973,53.169,78.832,14.865,29.487,41.648,77.236,52.188,67.433,11.605,112.581,24.953
7/2022,21.049,12.613,31.203,11.846,55.546,14.385,19.179,17.957,42.926,10.416,13.094,5.509,9.808,13.055,25.567,14.615,14.206,31.748,16.394,15.109,24.193,9.379,12.107,12.507,22.706,13.745,19.076,6.150,47.415,10.461
8/2022,10.862,13.030,15.541,8.258,17.853,7.863,18.250,10.562,40.542,7.357,18.660,4.530,8.799,6.605,16.517,11.310,26.146,13.584,7.061,11.805,10.967,6.119,10.842,9.795,11.033,11.444,11.150,4.372,11.994,6.673
9/2022,25.818,11.101,17.564,13.290,11.524,7.918,22.097,9.051,26.512,6.935,8.663,8.759,19.087,15.308,10.682,11.886,16.510,12.909,6.546,9.083,8.097,4.932,29.222,12.701,8.681,9.318,6.668,3.594,6.952,5.343
10/2022,10.048,6.256,9.888,10.288,10.831,12.181,25.862,8.296,11.394,6.971,6.210,9.412,8.980,19.933,19.317,32.815,15.129,9.433,6.921,11.536,10.263,4.141,17.327,21.866,8.796,8.856,7.446,4.257,5.812,4.529
11/2022,6.236,4.788,6.733,7.525,7.907,7.641,11.187,7.143,6.547,5.425,5.355,5.599,5.418,10.754,12.977,13.608,7.739,8.377,6.574,8.553,7.737,3.625,8.938,10.043,6.633,5.545,5.769,3.993,5.182,4.644
12/2022,5.103,4.209,5.721,5.178,6.459,5.712,6.822,6.282,5.322,4.503,4.579,4.303,4.601,6.641,7.733,7.620,5.837,6.508,4.866,5.544,5.853,3.551,6.046,6.484,5.297,4.520,5.484,3.198,4.931,4.369
1/2023,4.451,3.746,5.222,4.376,5.259,4.539,5.464,4.851,4.854,4.081,4.160,3.565,3.948,5.812,6.073,5.590,4.740,5.161,4.130,4.490,5.294,3.226,5.009,5.360,4.442,4.059,4.628,2.832,4.576,4.243
2/2023,3.942,3.097,4.342,4.931,5.536,3.665,4.401,4.182,4.414,3.343,3.595,3.486,3.354,4.799,4.874,5.409,3.716,4.461,3.381,3.685,4.021,2.860,4.836,6.331,4.989,4.006,4.211,2.348,3.910,3.544
