segdesc   = YDLC2L_F
2024-01-01
DATE,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1/2024,24.681,24.678,24.824,25.081,27.415,25.514,25.284,25.845,25.607,30.519,24.635,24.919,25.838,24.741,30.976,25.162,24.797,24.819,25.771,24.692,24.784,26.565,24.866,24.757,25.798,24.674,25.124,26.999,24.658,24.755
2/2024,25.587,24.318,22.253,22.840,37.440,31.560,23.374,25.909,28.387,39.333,23.692,22.733,33.652,23.395,33.269,22.700,28.125,22.368,29.215,22.040,23.528,24.413,24.113,26.579,42.394,28.690,47.952,33.105,24.021,22.329
3/2024,43.350,65.794,51.209,63.292,89.201,54.706,60.629,57.458,70.897,64.280,50.026,33.135,61.764,83.342,50.133,42.972,95.168,28.597,81.767,33.845,46.456,76.171,43.250,59.549,68.052,61.812,134.786,60.451,36.495,53.059
4/2024,132.596,178.767,206.677,179.219,120.845,244.759,148.628,171.233,183.344,221.868,161.255,142.082,239.613,196.003,146.827,209.491,148.447,89.387,236.076,166.830,229.334,198.320,122.682,163.110,107.964,212.467,197.606,155.465,221.329,155.715
5/2024,435.740,342.639,648.359,350.858,699.503,597.463,555.061,496.412,518.174,579.437,361.269,214.138,584.135,278.515,459.342,395.472,337.175,449.062,631.107,388.600,577.444,230.874,409.285,450.938,288.250,591.820,447.948,422.800,475.932,458.622
6/2024,359.934,109.227,535.785,123.124,766.693,456.664,466.131,403.355,480.787,292.530,135.119,111.687,340.066,83.601,388.288,175.671,106.577,580.044,406.957,489.138,755.807,54.049,253.273,414.220,189.502,383.373,287.767,165.148,541.357,277.430
7/2024,66.648,16.367,130.376,12.882,277.307,85.905,69.826,145.615,98.154,34.312,11.714,5.170,47.482,9.557,62.404,18.439,8.644,173.168,118.259,93.722,305.710,3.609,35.926,74.717,25.209,67.016,47.596,16.262,197.570,34.682
8/2024,16.898,9.947,27.155,8.408,45.732,21.595,30.316,31.890,23.884,11.904,9.354,5.092,14.592,6.620,15.304,10.763,7.440,28.211,25.391,21.401,46.168,5.464,13.243,36.327,9.105,17.426,14.696,9.169,33.660,10.996
9/2024,15.547,8.970,19.150,8.674,21.402,16.399,74.924,14.311,16.873,18.564,9.571,7.515,16.999,14.875,11.225,23.170,15.125,18.828,14.660,12.262,28.102,6.581,25.282,31.719,8.277,11.765,11.995,8.500,17.652,10.859
10/2024,18.840,15.127,39.797,20.059,43.627,25.516,84.560,40.004,21.223,37.876,18.226,22.195,20.164,33.186,29.302,45.396,43.447,22.092,33.217,24.889,33.956,14.222,49.230,35.251,14.552,21.399,40.347,26.091,23.759,25.407
11/2024,25.417,21.612,33.375,24.147,39.864,49.492,42.292,34.910,24.594,26.468,23.726,20.811,26.307,40.258,28.761,41.208,34.329,27.830,33.718,45.108,34.300,20.872,40.687,32.307,22.033,25.010,31.542,26.891,29.717,36.487
12/2024,23.233,20.942,26.722,20.927,40.248,45.290,29.420,37.202,24.381,23.745,20.971,20.759,27.788,23.976,23.982,28.719,23.156,26.981,26.854,31.915,29.222,20.577,27.872,30.100,22.219,23.914,29.784,21.925,30.610,29.277
1/2025,22.074,20.507,24.808,22.626,30.771,33.497,27.560,27.573,27.858,22.119,19.567,19.809,24.472,27.615,26.686,23.904,21.326,25.546,24.531,28.504,29.637,18.706,24.351,27.185,20.819,23.033,26.911,20.590,26.759,24.351
2/2025,20.863,17.596,22.071,31.751,35.083,26.351,27.668,28.032,35.339,19.673,17.036,27.804,21.906,29.751,21.111,26.486,18.635,26.950,21.121,23.736,25.806,17.175,25.102,48.489,22.656,42.704,30.711,19.580,23.060,22.269
